,night,Id,minutes,hours_asleep
0,2016-03-11,1927972279,396,6.6
1,2016-03-11,2026352035,509,8.483333333333333
2,2016-03-11,2347167796,377,6.283333333333333
3,2016-03-11,4020332650,37,0.6166666666666667
4,2016-03-11,4319703577,450,7.5
5,2016-03-11,4445114986,197,3.283333333333333
6,2016-03-11,4702921684,484,8.066666666666666
7,2016-03-11,5553957443,324,5.4
8,2016-03-11,5577150313,513,8.55
9,2016-03-11,6117666160,377,6.283333333333333
10,2016-03-11,6775888955,435,7.25
11,2016-03-11,6962181067,391,6.516666666666667
12,2016-03-11,7086361926,181,3.0166666666666666
13,2016-03-11,8378563200,472,7.866666666666666
14,2016-03-12,1503960366,201,3.35
15,2016-03-12,1927972279,595,9.916666666666666
16,2016-03-12,2026352035,572,9.533333333333333
17,2016-03-12,2347167796,499,8.316666666666666
18,2016-03-12,3977333714,295,4.916666666666667
19,2016-03-12,4020332650,743,12.383333333333333
20,2016-03-12,4319703577,517,8.616666666666667
21,2016-03-12,4445114986,459,7.65
22,2016-03-12,4702921684,318,5.3
23,2016-03-12,5553957443,779,12.983333333333333
24,2016-03-12,5577150313,478,7.966666666666667
25,2016-03-12,6117666160,369,6.15
26,2016-03-12,6775888955,78,1.3
27,2016-03-12,6962181067,533,8.883333333333333
28,2016-03-12,7086361926,386,6.433333333333334
29,2016-03-12,8378563200,648,10.8
30,2016-03-13,1503960366,493,8.216666666666667
31,2016-03-13,1927972279,259,4.316666666666666
32,2016-03-13,2022484408,144,2.4
33,2016-03-13,2026352035,640,10.666666666666666
34,2016-03-13,2347167796,620,10.333333333333334
35,2016-03-13,3977333714,451,7.516666666666667
36,2016-03-13,4020332650,472,7.866666666666666
37,2016-03-13,4319703577,16,0.26666666666666666
38,2016-03-13,4445114986,78,1.3
39,2016-03-13,4702921684,448,7.466666666666667
40,2016-03-13,5553957443,784,13.066666666666666
41,2016-03-13,5577150313,380,6.333333333333333
42,2016-03-13,6117666160,480,8.0
43,2016-03-13,6775888955,399,6.65
44,2016-03-13,6962181067,497,8.283333333333333
45,2016-03-13,7086361926,383,6.383333333333334
46,2016-03-13,8378563200,451,7.516666666666667
47,2016-03-14,1503960366,322,5.366666666666666
48,2016-03-14,1927972279,177,2.95
49,2016-03-14,2026352035,534,8.9
50,2016-03-14,2347167796,468,7.8
51,2016-03-14,3977333714,510,8.5
52,2016-03-14,4020332650,239,3.9833333333333334
53,2016-03-14,4319703577,460,7.666666666666667
54,2016-03-14,4445114986,162,2.7
55,2016-03-14,4702921684,449,7.483333333333333
56,2016-03-14,5553957443,379,6.316666666666666
57,2016-03-14,5577150313,457,7.616666666666666
58,2016-03-14,6117666160,670,11.166666666666666
59,2016-03-14,6775888955,405,6.75
60,2016-03-14,6962181067,431,7.183333333333334
61,2016-03-14,7007744171,88,1.4666666666666666
62,2016-03-14,7086361926,428,7.133333333333334
63,2016-03-14,8378563200,398,6.633333333333334
64,2016-03-15,1503960366,299,4.983333333333333
65,2016-03-15,1927972279,333,5.55
66,2016-03-15,2026352035,111,1.85
67,2016-03-15,2347167796,551,9.183333333333334
68,2016-03-15,3977333714,333,5.55
69,2016-03-15,4020332650,323,5.383333333333334
70,2016-03-15,4319703577,490,8.166666666666666
71,2016-03-15,4445114986,538,8.966666666666667
72,2016-03-15,4702921684,475,7.916666666666667
73,2016-03-15,5553957443,429,7.15
74,2016-03-15,5577150313,532,8.866666666666667
75,2016-03-15,6117666160,450,7.5
76,2016-03-15,6962181067,413,6.883333333333334
77,2016-03-15,7086361926,386,6.433333333333334
78,2016-03-15,8378563200,477,7.95
79,2016-03-16,1503960366,482,8.033333333333333
80,2016-03-16,1927972279,312,5.2
81,2016-03-16,2026352035,508,8.466666666666667
82,2016-03-16,2347167796,489,8.15
83,2016-03-16,3977333714,375,6.25
84,2016-03-16,4020332650,592,9.866666666666667
85,2016-03-16,4319703577,531,8.85
86,2016-03-16,4445114986,278,4.633333333333334
87,2016-03-16,4702921684,488,8.133333333333333
88,2016-03-16,5553957443,280,4.666666666666667
89,2016-03-16,5577150313,487,8.116666666666667
90,2016-03-16,6117666160,706,11.766666666666667
91,2016-03-16,6962181067,329,5.483333333333333
92,2016-03-16,7086361926,425,7.083333333333333
93,2016-03-16,8378563200,385,6.416666666666667
94,2016-03-17,1503960366,417,6.95
95,2016-03-17,1927972279,276,4.6
96,2016-03-17,2026352035,525,8.75
97,2016-03-17,2347167796,377,6.283333333333333
98,2016-03-17,3977333714,121,2.0166666666666666
99,2016-03-17,4020332650,87,1.45
100,2016-03-17,4319703577,529,8.816666666666666
101,2016-03-17,4445114986,231,3.85
102,2016-03-17,4702921684,464,7.733333333333333
103,2016-03-17,5553957443,61,1.0166666666666666
104,2016-03-17,5577150313,438,7.3
105,2016-03-17,6117666160,653,10.883333333333333
106,2016-03-17,6962181067,426,7.1
107,2016-03-17,7086361926,55,0.9166666666666666
108,2016-03-17,8378563200,441,7.35
109,2016-03-18,1503960366,499,8.316666666666666
110,2016-03-18,1927972279,643,10.716666666666667
111,2016-03-18,2026352035,611,10.183333333333334
112,2016-03-18,2347167796,403,6.716666666666667
113,2016-03-18,4319703577,503,8.383333333333333
114,2016-03-18,4702921684,4,0.06666666666666667
115,2016-03-18,5553957443,115,1.9166666666666667
116,2016-03-18,5577150313,430,7.166666666666667
117,2016-03-18,6117666160,617,10.283333333333333
118,2016-03-18,6775888955,300,5.0
119,2016-03-18,6962181067,439,7.316666666666666
120,2016-03-18,8378563200,599,9.983333333333333
121,2016-03-19,1503960366,408,6.8
122,2016-03-19,1927972279,513,8.55
123,2016-03-19,2026352035,550,9.166666666666666
124,2016-03-19,2347167796,430,7.166666666666667
125,2016-03-19,4319703577,505,8.416666666666666
126,2016-03-19,4445114986,366,6.1
127,2016-03-19,5577150313,431,7.183333333333334
128,2016-03-19,6117666160,645,10.75
129,2016-03-19,6775888955,403,6.716666666666667
130,2016-03-19,6962181067,514,8.566666666666666
131,2016-03-19,7086361926,309,5.15
132,2016-03-19,8378563200,516,8.6
133,2016-03-20,1503960366,476,7.933333333333334
134,2016-03-20,1927972279,666,11.1
135,2016-03-20,2026352035,588,9.8
136,2016-03-20,2347167796,585,9.75
137,2016-03-20,4319703577,488,8.133333333333333
138,2016-03-20,4445114986,342,5.7
139,2016-03-20,5577150313,655,10.916666666666666
140,2016-03-20,6117666160,587,9.783333333333333
141,2016-03-20,6775888955,183,3.05
142,2016-03-20,6962181067,467,7.783333333333333
143,2016-03-20,7086361926,460,7.666666666666667
144,2016-03-20,8378563200,284,4.733333333333333
145,2016-03-21,1503960366,135,2.25
146,2016-03-21,1927972279,205,3.4166666666666665
147,2016-03-21,2026352035,604,10.066666666666666
148,2016-03-21,2347167796,484,8.066666666666666
149,2016-03-21,4319703577,106,1.7666666666666666
150,2016-03-21,4445114986,430,7.166666666666667
151,2016-03-21,4702921684,462,7.7
152,2016-03-21,5553957443,349,5.816666666666666
153,2016-03-21,5577150313,55,0.9166666666666666
154,2016-03-21,6117666160,509,8.483333333333333
155,2016-03-21,6775888955,222,3.7
156,2016-03-21,6962181067,352,5.866666666666666
157,2016-03-21,7086361926,232,3.8666666666666667
158,2016-03-21,8378563200,527,8.783333333333333
159,2016-03-22,1503960366,207,3.45
160,2016-03-22,1927972279,465,7.75
161,2016-03-22,2026352035,545,9.083333333333334
162,2016-03-22,2347167796,523,8.716666666666667
163,2016-03-22,4319703577,424,7.066666666666666
164,2016-03-22,4445114986,139,2.316666666666667
165,2016-03-22,4702921684,458,7.633333333333334
166,2016-03-22,5553957443,380,6.333333333333333
167,2016-03-22,5577150313,469,7.816666666666666
168,2016-03-22,6117666160,298,4.966666666666667
169,2016-03-22,6962181067,632,10.533333333333333
170,2016-03-22,7086361926,301,5.016666666666667
171,2016-03-22,8378563200,481,8.016666666666667
172,2016-03-23,1503960366,297,4.95
173,2016-03-23,1927972279,488,8.133333333333333
174,2016-03-23,2026352035,600,10.0
175,2016-03-23,2347167796,493,8.216666666666667
176,2016-03-23,4319703577,510,8.5
177,2016-03-23,4445114986,232,3.8666666666666667
